,Country,Barley and products,Bovine Meat,Eggs,"Fish, Seafood",Maize and products,Milk - Excluding Butter,Mutton & Goat Meat,Pigmeat,Poultry Meat,"Pulses, Other and products",Rice (Milled Equivalent),Rye and products,Starchy Roots,Wheat and products,Code,Continent,Crop as Prop total,Pasture as prop total area
23,Bulgaria,699.3333333333334,20.333333333333332,73.33333333333333,17.666666666666668,2222.0,1278.0,15.333333333333334,73.0,103.33333333333333,4.666666666666667,38.0,23.666666666666668,190.0,4806.0,BGR,Eurpoe,0.32813462588949727,0.15613515820396845
24,Burkina Faso,0.0,110.0,59.666666666666664,19.0,1406.0,356.0,49.666666666666664,32.333333333333336,38.333333333333336,612.0,192.66666666666666,0.0,241.66666666666666,0.0,BFA,Africa,0.15986841142834185,0.2226986590157377
25,Cabo Verde,0.0,1.0,2.0,23.0,6.0,11.0,1.0,3.0,1.0,5.666666666666667,0.0,0.0,20.0,0.0,CPV,Africa,0.0,0.0
26,Cambodia,0.0,73.0,22.0,667.6666666666666,865.0,23.0,0.0,102.66666666666667,27.666666666666668,0.0,6105.333333333333,0.0,7969.0,0.0,KHM,Asia,0.21567474583007565,0.08510882601195814
27,Cameroon,0.0,88.33333333333333,15.666666666666666,137.33333333333334,1656.3333333333333,248.66666666666666,30.666666666666668,32.333333333333336,70.66666666666667,194.33333333333334,122.0,0.0,7012.0,1.0,CMR,Africa,0.15062461267202443,0.04007035632517521
28,Canada,8668.333333333334,1085.6666666666667,466.6666666666667,1004.3333333333334,12647.666666666666,8452.666666666666,16.666666666666668,1986.6666666666667,1236.3333333333333,1900.0,0.0,251.66666666666666,4459.333333333333,30007.666666666668,CAN,North America,0.041544354001550876,0.01919586814784805
29,Central African Republic,0.0,77.66666666666667,3.0,32.333333333333336,155.66666666666666,73.0,24.0,17.0,6.0,37.666666666666664,26.666666666666668,0.0,1246.3333333333333,0.0,CAF,Africa,0.032907063022957074,0.04922291297371826
30,Chad,0.0,97.66666666666667,4.0,60.0,308.3333333333333,276.6666666666667,42.0,1.0,5.0,55.0,174.0,0.0,825.0,19.0,TCD,Africa,0.028428094076379987,0.32469565571372744
31,Chile,93.0,198.33333333333334,205.0,3457.3333333333335,1483.3333333333333,2659.0,15.0,554.0,665.3333333333334,44.0,91.33333333333333,3.6666666666666665,1323.3333333333333,1421.3333333333333,CHL,South America,0.030740371081596354,0.15813536042856102
32,China,1654.0,6624.666666666667,28861.0,56704.666666666664,206587.66666666666,41707.333333333336,4009.6666666666665,51819.0,18478.0,1979.0,136481.33333333334,669.3333333333334,171401.0,119977.33333333333,CHN,Asia,0.1469045427104073,0.28372006262852084
33,"China, mainland",1654.0,6609.333333333333,28495.333333333332,55301.0,206466.66666666666,41337.333333333336,4007.3333333333335,50813.333333333336,17795.333333333332,1979.0,135378.33333333334,669.3333333333334,171077.0,119972.0,CHN,Asia,0.1469045427104073,0.28372006262852084
34,Colombia,8.666666666666666,841.0,648.0,169.0,1790.6666666666667,6408.0,10.666666666666666,232.66666666666666,1154.3333333333333,7.666666666666667,1332.6666666666667,0.0,4363.0,10.0,COL,South America,0.0313823333293898,0.2987086895930081
35,Costa Rica,0.0,89.66666666666667,56.333333333333336,53.666666666666664,16.666666666666668,1015.6666666666666,0.0,53.333333333333336,107.66666666666667,0.0,159.66666666666666,0.0,284.6666666666667,0.0,CRI,North America,0.09931788210603797,0.42517983875298243
36,Croatia,210.33333333333334,43.333333333333336,38.0,82.0,1635.3333333333333,789.3333333333334,4.666666666666667,118.0,30.333333333333332,2.0,0.0,2.6666666666666665,160.66666666666666,927.0,HRV,Eurpoe,0.2720216342659993,0.2161997934917777
37,Cuba,0.0,67.0,114.33333333333333,49.666666666666664,380.0,600.3333333333334,14.333333333333334,178.33333333333334,34.0,0.0,418.3333333333333,0.0,1492.6666666666667,0.0,CUB,North America,0.37112656536799055,0.21004994362235618
38,Cyprus,50.333333333333336,5.0,10.0,6.0,0.0,207.33333333333334,5.333333333333333,52.0,24.666666666666668,1.0,0.0,0.0,106.66666666666667,21.0,CYP,Asia,0.12694483650676758,0.0035978541945320217
