,AVG GDP 2011-2013 Constant 2010,Country Name,Country Code,stunting(percentage),overweight(percentage),Urban_Rural_ratio,Code
243,33843643.81,Tuvalu,TUV,,,,
244,36318860920.0,Tanzania,TZA,34.5,3.7,0.402772220634467,TZA
245,22921434798.0,Uganda,UGA,28.9,3.7,0.1783013663064291,UGA
246,144000000000.0,Ukraine,UKR,22.9,26.5,2.2622832889720166,UKR
247,17700000000000.0,Upper middle income,UMC,,,,
248,44041350197.0,Uruguay,URY,10.7,7.2,18.084269662921347,URY
249,15500000000000.0,United States,USA,3.5,9.4,4.614115244033541,USA
250,46145178247.0,Uzbekistan,UZB,19.6,12.2,0.5374726761736234,UZB
251,688823698.4,St. Vincent and the Grenadines,VCT,,,0.9811491752764184,VCT
252,427000000000.0,"Venezuela, RB",VEN,13.4,6.4,8.11928004881025,VEN
253,,British Virgin Islands,VGB,,,,
254,3520172758.0,Virgin Islands (U.S.),VIR,,,,
255,130000000000.0,Vietnam,VNM,24.6,5.3,0.4660205189711341,VNM
256,722413154.2,Vanuatu,VUT,28.5,4.6,0.33644708423326136,VUT
257,69900000000000.0,World,WLD,,,,
258,677626525.4,Samoa,WSM,4.9,5.3,0.2439184746877055,WSM
259,6300934476.0,Kosovo,XKX,,,,
260,27851485560.0,"Yemen, Rep.",YEM,46.4,2.5,0.4593707891499209,YEM
261,397000000000.0,South Africa,ZAF,27.4,13.3,1.6695209791970986,ZAF
262,22865043464.0,Zambia,ZMB,40.0,6.2,0.6104294478527608,ZMB
263,15384982531.0,Zimbabwe,ZWE,27.1,5.6,0.4415482606565409,ZWE
264,,,,,,,TWN
