Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","10","Australia","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","542","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","343","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","1055","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2949","Eggs","2011","2011","1000 tonnes","195","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","9101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","236","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","1782","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","859","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","2453","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","202","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","816","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","29","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","222","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","7","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","544","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","138","S","Standardized data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2949","Eggs","2011","2011","1000 tonnes","103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","3337","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","11","Austria","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","1641","S","Standardized data"
