Country Name,Country Code,Gini Avg 2011 to 2013,"Gini Flag(Selecing whichever is the closest, if two values with equal distance to 2012. Average)",ari_employment value (AVG 2011-2013),agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
IDA & IBRD total,IBT,NaN,,36.9490865,8.858816713,,2.39E+13,,4.839565352
IDA total,IDA,NaN,,53.78803284,22.52206551,,1.61E+12,,4.179604184
IDA blend,IDB,NaN,,44.03722226,21.21070506,,7.84E+11,,3.883121154
Indonesia,IDN,39.73333333,,36.03299967,13.41432016,,8.50E+11,,4.65233326
IDA only,IDX,NaN,,58.15251198,23.6637352,,8.21E+11,,4.311250113
Isle of Man,IMN,NaN,,NaN,0.639750378,,6260881546,,NaN
India,IND,35.7,Closest Entry,47.52133306,17.06192472,,1.87E+12,,2.677333355
Not classified,INX,NaN,,NaN,#DIV/0!,,NaN,,NaN
Ireland,IRL,33.2,,5.752666632,1.091772824,,2.32E+11,,14.85033322
"Iran, Islamic Rep.",IRN,37.4,Closest Entry,18.60666656,7.606431822,,4.75E+11,,11.83999983
Iraq,IRQ,29.5,Closest Entry,20.73833338,4.485348292,,1.67E+11,,8.060000102
Iceland,ISL,26.33333333,,5.160999934,6.327115136,,14256249786,,6.134666602
Israel,ISR,41.4,Closest Entry,1.414666653,1.364669923,,2.52E+11,,6.734666665
Italy,ITA,35.06666667,,3.658333381,1.981850498,,2.09E+12,,10.3876667
Jamaica,JAM,45.5,Closest Entry,18.02400017,5.79651245,,13395456528,,13.96033351
Jordan,JOR,33.7,Closest Entry,3.709666729,4.055903659,,27983378478,,12.5666666
Japan,JPN,32.1,Closest Entry,3.86500001,1.107133902,,5.79E+12,,4.2736667
Kazakhstan,KAZ,27.76666667,,25.39300029,4.593616627,,1.67E+11,,5.293333212
Kenya,KEN,40.8,Closest Entry,59.11800003,26.30596301,,44604242955,,9.710000038
Kyrgyz Republic,KGZ,28,,30.99899991,15.95246186,,5257351060,,8.429999987
