,PerCapita_GDP_2015,agri_gdp_percentage(AVG from 2011 to 2013),AVG GDP 2011-2013 Constant 2010,Cons_kg.yr Cereals - Excluding Beer,Cons_kg.yr Eggs,"Cons_kg.yr Fish, Seafood",Cons_kg.yr Meat,Cons_kg.yr Milk - Excluding Butter,Cons_kg.yr Nuts_and_Seeds,Cons_kg.yr Pulses,Cons_kg.yr Starchy Roots,"Fish, Seafood",Bovine_Sheep_Pigmeat_Poultry,Milk_Egg,Cereals,Primary_Religion,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,eggs,dairy,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Travel_time_to_cities_group,Soil_suit_overall_group,Soil_suit_cereals_group,Cons_kg.yr Cereals - Excluding Beer_group,Cons_kg.yr Eggs_group,"Cons_kg.yr Fish, Seafood_group",Cons_kg.yr Meat_group,Cons_kg.yr Milk - Excluding Butter_group,Cons_kg.yr Nuts_and_Seeds_group,Cons_kg.yr Pulses_group,Cons_kg.yr Starchy Roots_group,"Fish, Seafood_group",Bovine_Sheep_Pigmeat_Poultry_group,Milk_Egg_group,Cereals_group,PerCapita_GDP_2015_group,agri_gdp_percentage(AVG from 2011 to 2013)_group,AVG GDP 2011-2013 Constant 2010_group,eggs_group,dairy_group,meat_fish_group,nuts_pulses_group,grains_tubers_group,animal_source_foods_group
49,261.6205,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,79.58694,7.1555800000000005,6.9850460000000005,0.10769230769230802,0.42601809954751096,0.300452488687783,0.135746606334842,0.9073152337858221,0.8341628959276021,8,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
51,16236.24,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,52.965309999999995,8.048684,7.984669,0.12234671893762801,0.392901038355584,0.1375,0.222759942078124,0.679325157166066,0.652747757293212,6,5,4,4,1,1,2,6,1,1,2,1,2,6,22,17,2,5229,1,1,1,1,2,2
54,2606.353,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,8.499638000000001,7.447255999999999,7.4778720000000005,0.16654591128748,0.24022845947079602,0.282381857528633,0.214962199938278,0.739074968994506,0.6891562282869088,1,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
55,121921.1,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,18.30862,7.343999999999999,7.4730360000000005,0.0486982752967408,0.147892601856796,0.271143775235847,0.207363225010284,0.585120080260745,0.467734652389384,2,4,4,4,1,1,2,6,1,1,2,1,2,6,22,122,2,5229,1,1,1,1,2,1
56,9910.67,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,65.66144,7.445438,7.478778,0.07600732600732599,0.27413657770800604,0.221415489272632,0.0984432234432234,0.684791399077113,0.571559392987964,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,10,2,5229,1,1,1,1,2,2
58,13372.94,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,24.28361,7.893946000000001,7.985197,0.0778252525111021,0.143278478335845,0.328522839238101,0.13876039579918698,0.5477350716423739,0.549626570085048,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,14,2,5229,1,1,1,1,2,2
61,8218.938,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,39.262679999999996,7.472249000000001,7.4778720000000005,0.156516857755248,0.49646968098980504,0.132109685979655,0.239478787466404,0.827412422458862,0.7850962247247081,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,1,2,2
63,8090.978,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,28.70587,7.339536,7.47553,0.0666840416407891,0.24550209978410698,0.3841196433324461,0.267448170821873,0.6935512968384941,0.6963057847573421,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,2,2,2
65,209.7401,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,51.99516,7.495574,7.491465,0.15564892623716198,0.15882352941176503,0.281334351922587,0.127077497665733,0.574614088059466,0.5958068075715129,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
67,5001.946,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,80.32281,7.49027,6.9850460000000005,0.0547794117647059,0.38124730661495393,0.12362132352941198,0.245668026826115,0.5038646708683471,0.559648041909071,9,4,4,4,1,1,2,6,1,1,2,1,2,6,22,6,2,5229,1,1,1,1,2,2
68,2913.2,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,35.23722,7.542111,7.984141,0.23571428571428601,0.30977443609022604,0.339473684210526,0.0780701754385965,0.860025062656641,0.8849624060150378,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
69,6649.191999999999,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,33.50333,7.551391000000001,7.4778720000000005,0.19355118565644897,0.267322151532678,0.148091382301909,0.235584152689416,0.7922064777327942,0.608964719491035,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,7,2,5229,1,1,1,1,2,2
70,7626.021,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,42.32736,7.169911999999999,6.9850460000000005,0.0,0.29755958327386894,0.28571428571428603,0.107142857142857,0.796160981875268,0.583273868988155,5,4,4,4,1,1,2,6,1,1,2,1,2,6,22,8,2,5229,1,1,1,1,2,2
71,178731.3,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,54.11115,7.241421000000001,7.475907,0.037037037037037,0.218518518518519,0.526719576719577,0.134920634920635,0.8190476190476189,0.7822751322751321,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,179,2,5229,1,1,2,1,2,2
72,37196348.0,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,62.86852,7.40212,7.4752279999999995,0.0714285714285714,0.34693877551020397,0.1287284144427,0.123626373626374,0.6191056842317351,0.547095761381476,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,37197,2,5229,1,1,1,1,2,2
77,1123894.0,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,75.3753,6.705845,6.492069,0.153142857142857,0.18370695970696,0.286203574203574,0.0597948717948718,0.66571028971029,0.623053391053391,8,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1124,2,5229,1,1,1,1,2,2
82,230.5355,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,38.49,6.861606,6.985424000000001,0.0634920634920635,0.166666666666667,0.5230880230880229,0.111111111111111,0.570707070707071,0.7532467532467529,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,2,1,2,2
83,2670.298,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,46.337309999999995,6.915519000000001,6.985424000000001,0.0,0.250267379679144,0.155746926869922,0.102368220015279,0.41535523300229205,0.406014306549066,5,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,1,1
84,78.81136,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,33.50029,7.058304,6.985424000000001,0.10294117647058802,0.3812103788883971,0.251213818860878,0.17092363261093899,0.7902906776745792,0.7339764853309749,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
85,8145.408,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,30.646279999999997,7.247082000000001,6.985424000000001,0.13456820670442898,0.29784967469178003,0.236066197304588,0.164827011080881,0.7004209871082939,0.668484078700797,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,1,2,2
88,96284.04,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,68.99958000000001,7.495893,7.478022999999999,0.154022674158421,0.21901944209636498,0.33557340095801597,0.11913021618904,0.5886300476798211,0.6893847479820329,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,97,2,5229,1,1,1,1,2,2
92,102.7081,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,28.561529999999998,7.391832000000001,7.984669,0.087962962962963,0.22857142857142898,0.35939153439153404,0.21309523809523803,0.8025132275132271,0.674074074074074,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
93,4387.314,5.435613947999999,174000000000.0,179.06,12.806,6.234,55.906000000000006,241.75599999999997,3.426,2.144,98.598,12.0,956.6666666666665,5370.666666666666,20860.666666666668,0,17.52026,6.294233,6.038039,0.12197556055915199,0.172675542838082,0.276145151145151,0.11018377047788801,0.718578795358981,0.570796254542385,2,4,4,5,1,1,2,8,1,1,4,1,10,54,207,5,1,171656,1,1,1,1,2,2
94,1628.0510000000002,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,59.07982,6.483245,6.609531,0.23108058608058601,0.345515873015873,0.35951770451770393,0.211135531135531,0.821007326007326,0.936114163614164,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,1,2,2
95,8475.144,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,67.7325,6.666034,6.492069,0.14822257107971398,0.376367162249515,0.249679358923056,0.0742816100799294,0.638986261171135,0.7742690922522859,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,1,2,2
96,195429.6,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,55.39974,6.920134,6.985424000000001,0.10390487859324402,0.19780612969671202,0.191612127484704,0.18152301299808202,0.6713909013424251,0.49332313577465997,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,196,2,5229,1,1,1,1,2,1
98,630.2697,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,29.984840000000002,7.248414,7.491842999999999,0.315433673469388,0.24415227629513397,0.24608843537414998,0.24908424908424898,0.7779958137101,0.7966182626896909,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,2,1,1,1,2,2
99,2460.154,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,13.26755,7.258269,7.475378999999999,0.166666666666667,0.311538461538462,0.282564102564103,0.152820512820513,0.7687545787545791,0.760769230769231,2,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
100,2342.063,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,38.20261,7.076211,6.985424000000001,0.0953460332770677,0.0933813313123659,0.20827754620858102,0.21258052292534999,0.6588417329796639,0.394810553431243,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,1
102,36103.48,5.435613947999999,174000000000.0,179.06,12.806,6.234,55.906000000000006,241.75599999999997,3.426,2.144,98.598,12.0,956.6666666666665,5370.666666666666,20860.666666666668,0,17.02016,6.104979,6.038039,0.19797339914986897,0.206487270899036,0.203529803529804,0.16604580060462398,0.7412797659856479,0.607990473578709,2,4,4,5,1,1,2,8,1,1,4,1,10,54,207,37,1,171656,1,1,1,1,2,2
103,4041.3590000000004,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,88.59944,6.489448,6.9850460000000005,0.15071022727272698,0.146333874458874,0.256885822510822,0.16426230019979998,0.53690164002664,0.553929924242425,9,4,4,4,1,1,2,6,1,1,2,1,2,6,22,5,2,5229,1,1,1,1,2,2
104,23.25352,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,68.47973,6.898944999999999,6.985424000000001,0.2,0.178571428571429,0.0928571428571429,0.0214285714285714,0.707142857142857,0.47142857142857103,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,1
105,2385.597,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,37.52415,5.59596,6.492069,0.11450216450216501,0.304145854145854,0.307632843347129,0.194838494838495,0.863760049474335,0.724116359830646,4,3,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
106,13626.45,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,20.00524,5.412422,5.492296,0.117349970291147,0.457516339869281,0.497860962566845,0.21420083184789102,0.970588235294118,1.06791443850267,3,3,3,4,1,1,2,6,1,1,2,1,2,6,22,14,2,5229,1,1,1,1,2,3
108,1117.175,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,6.499897,6.820112,6.982553,0.0838875299843898,0.25035021438645394,0.260028700935656,0.256415681611253,0.8363425145545891,0.589802159592214,1,4,4,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,2,2,2
